Rec,Time,P1,P2
0.983,695,0.999415086,0.980217579
0.983,696,0.999418486,0.98028594
0.983,697,0.999421863,0.980354021
0.983,698,0.999425217,0.980421824
0.983,699,0.999428549,0.98048935
0.983,700,0.999431859,0.9805566
0.983,701,0.999435147,0.980623576
0.983,702,0.999438413,0.980690279
0.983,703,0.999441657,0.98075671
0.983,704,0.99944488,0.98082287
0.983,705,0.999448082,0.980888761
0.983,706,0.999451262,0.980954384
0.983,707,0.999454422,0.98101974
0.983,708,0.99945756,0.981084831
0.983,709,0.999460678,0.981149658
0.983,710,0.999463775,0.981214222
0.983,711,0.999466852,0.981278525
0.983,712,0.999469909,0.981342566
0.983,713,0.999472945,0.981406349
0.983,714,0.999475962,0.981469874
0.983,715,0.999478958,0.981533142
0.983,716,0.999481935,0.981596154
0.983,717,0.999484893,0.981658912
0.983,718,0.999487831,0.981721417
0.983,719,0.99949075,0.98178367
0.983,720,0.99949365,0.981845673
0.983,721,0.999496531,0.981907425
0.983,722,0.999499393,0.98196893
0.983,723,0.999502236,0.982030187
0.983,724,0.999505061,0.982091198
0.983,725,0.999507868,0.982151964
0.983,726,0.999510656,0.982212486
0.983,727,0.999513427,0.982272765
0.983,728,0.999516179,0.982332804
0.983,729,0.999518913,0.982392601
0.983,730,0.99952163,0.98245216
0.984,731,0.999524329,0.98251148
0.984,732,0.999527011,0.982570563
0.984,733,0.999529675,0.982629411
0.984,734,0.999532322,0.982688023
0.984,735,0.999534952,0.982746402
0.984,736,0.999537565,0.982804548
0.984,737,0.999540162,0.982862463
0.984,738,0.999542741,0.982920147
0.984,739,0.999545304,0.982977602
0.984,740,0.999547851,0.983034828
0.985,741,0.999550381,0.983091827
0.985,742,0.999552895,0.9831486
0.985,743,0.999555392,0.983205148
0.986,744,0.999557874,0.983261471
0.986,745,0.99956034,0.983317571
0.986,746,0.999562791,0.98337345
0.986,747,0.999565225,0.983429107
0.986,748,0.999567644,0.983484544
0.986,749,0.999570048,0.983539762
0.986,750,0.999572436,0.983594762
0.986,751,0.999574809,0.983649545
0.986,752,0.999577167,0.983704112
0.986,753,0.99957951,0.983758464
0.986,754,0.999581838,0.983812602
0.986,755,0.999584152,0.983866527
0.986,756,0.99958645,0.98392024
0.986,757,0.999588735,0.983973741
0.986,758,0.999591004,0.984027033
0.986,759,0.99959326,0.984080115
0.986,760,0.999595501,0.984132989
0.986,761,0.999597728,0.984185656
0.986,762,0.999599941,0.984238116
0.986,763,0.99960214,0.984290371
0.986,764,0.999604325,0.984342422
0.986,765,0.999606496,0.984394269
0.986,766,0.999608654,0.984445913
0.986,767,0.999610798,0.984497356
0.986,768,0.999612929,0.984548598
0.987,769,0.999615047,0.98459964
0.987,770,0.999617151,0.984650483
0.987,771,0.999619242,0.984701129
0.987,772,0.99962132,0.984751577
0.987,773,0.999623385,0.984801828
0.987,774,0.999625437,0.984851885
0.987,775,0.999627476,0.984901747
